Você conhece a E.E.B Prof. Balduíno Cardoso?,Como você ficou sabendo sobre a Escola Prof. Balduíno Cardoso?,Você sabe onde a Escola Prof. Balduíno Cardoso está localizada?,Você conhece algum dos cursos oferecidos pela Escola Prof. Balduíno Cardoso?
Sim,Recomendações de amigos ou familiares,Não,Não
Sim,Recomendações de amigos ou familiares,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Sim
Não,Não conheço,Não,Não
Sim,Redes sociais,Sim,Sim
Sim,Redes sociais,Sim,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Redes sociais,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Não,Não conheço,Não,Não
Sim,Redes sociais,Sim,Sim
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Redes sociais,Sim,Não
Sim,Redes sociais,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Redes sociais,Sim,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Não,Sim
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Não,Sim
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Recomendações de amigos ou familiares,Não,Sim
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Não,Não conheço,Não,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Recomendações de amigos ou familiares,Sim,Não
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Sim
Sim,Recomendações de amigos ou familiares,Sim,Não
Não,Recomendações de amigos ou familiares,Não,Sim
Sim,Outros,Não,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Não,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Sim,Não
Sim,Outros,Não,Não
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Não
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
Sim,Outros,Sim,Sim
